更新日期,#genre#
2025-11-25,https://codeberg.org/alantang/photo/raw/branch/main/Robot.mp4
🍎┃广东频道,#genre#
广州综合,http://14.117.233.31:8688/rtp/239.253.43.71:5146$IPV4•线路1
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8$IPV4•线路2
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd$IPV4•线路3
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe$IPV4•线路4
广州综合,http://r.jdshipin.com/snhya$IPV4•线路5
广州综合,http://tencentplaygzrb.gztv.com/sec/zonghes.m3u8$IPV4•线路6
广州新闻,http://14.117.233.31:8688/rtp/239.253.43.72:5146$IPV4•线路1
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3$IPV4•线路2
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a$IPV4•线路3
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen$IPV4•线路4
广州新闻,http://tencentplaygzrb.gztv.com/sec/xinwen.m3u8$IPV4•线路5
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8$IPV4•线路1
广东珠江,http://120.238.94.10:9901/tsfile/live/1009_1.m3u8$IPV4•线路2
广东珠江,http://gmxw.7766.org:808/hls/83/index.m3u8$IPV4•线路3
广东珠江,http://183.11.239.36:808/hls/83/index.m3u8$IPV4•线路4
广东珠江,http://r.jdshipin.com/sE5vO$IPV4•线路5
广东珠江,http://lu.wqwqwq.sbs/itv/2000000003000000033.m3u8?cdn=hnbblive$IPV4•线路6
广州影视频道,http://tencentplaygzrb01.gztv.com/live/yingshi.m3u8$IPV4•线路1
广州影视频道,http://php.jdshipin.com:8880/gztv.php?id=yingshi$IPV4•线路2
广州电视台法治频道,http://tencentplaygzrb01.gztv.com/live/fazhi.m3u8$IPV4•线路1
广州电视台法治频道,http://php.jdshipin.com:8880/gztv.php?id=fazhi$IPV4•线路2
广州南国都市频道,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8$IPV4
4K南国都市频道,http://php.jdshipin.com:8880/gztv.php?id=shenghuo$IPV4
广州竞赛频道,http://tencentplaygzrb01.gztv.com/live/jingsai.m3u8$IPV4•线路1
广州竞赛频道,http://php.jdshipin.com:8880/gztv.php?id=jingsai$IPV4•线路2
广东体育,http://120.238.94.10:9901/tsfile/live/1012_1.m3u8$IPV4•线路1
广东体育,https://epg.pw/stream/7b470f9fc5c305db0c8622117b7b25ca00eb35ba3e93e865cf0ff9df5c736681.m3u8$IPV4•线路2
广东体育,http://183.11.239.36:808/hls/2/index.m3u8$IPV4•线路3
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8$IPV4•线路4
广东体育,http://r.jdshipin.com/LiYdg$IPV4•线路5
广东民生,http://183.11.239.36:808/hls/18/index.m3u8$IPV4
广东综艺,http://14.117.233.31:8688/rtp/239.77.1.237:5146$IPV4
广东影视,http://qjrhc.jydjd.top:2911/udp/225.1.101.5:7523$IPV4•线路1
广东影视,http://qjrhc.jydjd.top:2911/udp/225.1.101.64:7523$IPV4•线路2
广东影视,http://119.32.12.17:2901/udp/225.1.101.5:7523$IPV4•线路3
广东影视,http://119.32.12.17:2901/udp/225.1.101.64:7523$IPV4•线路4
经济科教,http://live.yantaitv.cn/live/27f84144e95a4652ae9e5c211b2a6b55/405f3e33ba384aa0a16014d0becd1261-1.m3u8$IPV4
现代教育,http://1b6467f415.iok.la:9931/tsfile/live/1112_1.m3u8$IPV4
大湾区卫视,http://14.117.233.31:8688/rtp/239.77.0.215:5146$IPV4•线路1
大湾区卫视,http://z.b.bkpcp.top/m.php?id=dwqws$IPV4•线路2
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8$IPV4•线路3
大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8$IPV4•线路4
大湾区卫视,http://gmxw.7766.org:808/hls/132/index.m3u8$IPV4•线路5
🥝┃央视频道,#genre#
CCTV1,http://117.69.43.137:4022/rtp/238.1.78.166:7200$IPV4•线路1
CCTV1,http://14.117.233.31:8688/rtp/239.77.0.119:5146$IPV4•线路2
CCTV1,http://14.117.233.31:8688/rtp/239.77.0.129:5146$IPV4•线路3
CCTV1,http://14.117.233.31:8688/rtp/239.77.0.86:5146$IPV4•线路4
CCTV1,http://14.117.233.31:8688/rtp/239.77.1.144:5146$IPV4•线路5
CCTV1,http://14.117.233.31:8688/rtp/239.77.1.17:5146$IPV4•线路6
CCTV1,http://171.213.234.216:8089/rtp/239.93.0.58:5140$IPV4•线路7
CCTV1,http://183.160.35.31:4022/rtp/238.1.78.166:7200$IPV4•线路8
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$IPV4•线路9
CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8$IPV4•线路10
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$IPV4•线路11
CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8$IPV4•线路12
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$IPV4•线路13
CCTV1,https://v.lib.tju.edu.cn/liverespath/b455c7a019d404d571655c457e0ee8a9440a7802/319faa5444-0-0-93c6e2d1598737cd82cb99e49c9e22bc/index.m3u8$IPV4•线路14
CCTV1,http://111.43.126.240:9003/hls/13/index.m3u8$IPV4•线路15
CCTV1,http://ygbh.site/php/bfgd.php?id=488$IPV4•线路16
CCTV1,http://ygbh.site/php/bfgd.php?id=201$IPV4•线路17
CCTV1,http://ygbh.site/php/bfgd.php?id=484$IPV4•线路18
CCTV1,http://ygbh.site/php/bfgd.php?id=489$IPV4•线路19
CCTV1,http://sh.lnott.top:880/dx01.m3u8$IPV4•线路20
CCTV1,http://push-rtmp-hs-spe-f5.douyincdn.com/live/cctv1.flv$IPV4•线路21
CCTV1,http://php.cqshushu.ggff.net/jzb.php?id=cctv1&公众号【医工学习日志】$IPV4•线路22
CCTV2,http://117.69.43.137:4022/rtp/238.1.78.235:7752$IPV4•线路1
CCTV2,http://14.117.233.31:8688/rtp/239.253.43.17:5146$IPV4•线路2
CCTV2,http://14.117.233.31:8688/rtp/239.77.0.137:5146$IPV4•线路3
CCTV2,http://14.117.233.31:8688/rtp/239.77.1.158:5146$IPV4•线路4
CCTV2,http://171.213.234.216:8089/rtp/239.93.1.23:6000$IPV4•线路5
CCTV2,http://183.160.35.31:4022/rtp/238.1.78.235:7752$IPV4•线路6
CCTV2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8$IPV4•线路7
